,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude,geometry,osm_id,code,fclass,name,dist
3163,111.6,3.5,1440.0,Jenfeld,Hamburg,22045,15.48,2019-04-30 22:00:00,53.5746112615879,10.120816235861266,POINT (10.12081623586127 53.5746112615879),4044400224,2205,playground,,0.0033823844086989983
3164,89.352,3.5,920.328,Eidelstedt,Hamburg,22523,12.36,2019-05-30 22:00:00,53.606142600685644,9.906114629810544,POINT (9.906114629810544 53.60614260068564),1442947589,2205,playground,,0.00037234740013371607
3165,60.684,2.5,806.4,Altona-Nord,Hamburg,22769,15.948,2019-02-28 23:00:00,53.56165261899569,9.95266076232603,POINT (9.95266076232603 53.56165261899569),1616820508,2542,bicycle_shop,Bikefactory,3.1525439527802765e-05
3166,70.2,2.5,696.0,Farmsen-Berne,Hamburg,22159,11.892,2019-01-31 23:00:00,53.59528543411337,10.114885682711078,POINT (10.11488568271108 53.59528543411337),671589938,2004,post_box,,0.00024800608922871686
3167,109.2,4.5,1225.2,Eidelstedt,Hamburg,22523,13.464,2019-06-30 22:00:00,53.60930338319184,9.906123240003405,POINT (9.906123240003405 53.60930338319184),4793730881,2906,waste_basket,,9.542769500079684e-05
3168,43.2,1.5,1020.0,Eppendorf,Hamburg,20251,28.332,2019-06-30 22:00:00,53.59478155056483,9.984182925101273,POINT (9.984182925101273 53.59478155056483),877701547,2724,memorial,Ernst Thälmann,0.0002831494952889139
3169,79.2,3.5,910.8,Rissen,Hamburg,22559,13.8,2019-01-31 23:00:00,53.58092106236525,9.753281440685974,POINT (9.753281440685974 53.58092106236525),4984199972,2501,supermarket,PENNY,0.0007505760056057034
3170,138.0,4.0,1917.6,Eidelstedt,Hamburg,22523,16.68,2019-05-30 22:00:00,53.61199156804495,9.907572722900301,POINT (9.907572722900301 53.61199156804495),5202194181,2591,vending_cigarette,,0.0013373097605336882
3171,78.91199999999998,2.5,631.2959999999998,Eißendorf,Hamburg,21077,9.6,2019-03-28 23:00:00,53.44595189564792,9.942880024509156,POINT (9.942880024509156 53.44595189564792),537960822,2030,recycling,,0.00240752680614541
3172,81.72,3.5,710.9639999999998,Eidelstedt,Hamburg,22523,10.44,2019-02-28 23:00:00,53.60712249862768,9.890183837367843,POINT (9.890183837367843 53.60712249862768),1362473285,2205,playground,,0.0004011125501721917
3173,75.96,3.5,1278.0,St. Pauli,Hamburg,20359,20.184,2019-04-30 22:00:00,53.5538945079004,9.961694669721876,POINT (9.961694669721876 53.5538945079004),5050972342,2515,bookshop,Strips and Stories,0.00030846996035460125
3174,90.396,2.5,1332.0,Lokstedt,Hamburg,22529,17.688,2019-01-31 23:00:00,53.59249198479411,9.967571313979583,POINT (9.967571313979583 53.59249198479411),1561759665,2503,kiosk,Smile Kiosk,0.0011442413123111984
3175,73.2,2.5,584.4,Steilshoop,Hamburg,22309,9.576,2019-04-30 22:00:00,53.60503649376546,10.054415387203543,POINT (10.05441538720354 53.60503649376546),3406236406,2032,recycling_paper,,0.0010691563789826323
3176,118.8,4.5,2340.0,Hoheluft-Ost,Hamburg,20251,23.64,2019-01-31 23:00:00,53.583703685351935,9.976272669867793,POINT (9.976272669867793 53.58370368535194),4222407516,2568,laundry,Die Eppendorfer Reinigung,0.0002174469188913783
